time 	 pi1 	 pi2 	 pi3 	 pi4 	 hive 
19.2 	 -28.725374 	 -28.790763 	 -28.468629 	 -18.241780 	 -18.241780
19.3 	 -29.049842 	 -28.739862 	 -29.027330 	 -18.626899 	 -18.626899
19.4 	 -28.440565 	 -28.624625 	 -28.646116 	 -18.246111 	 -18.246111
19.5 	 -28.856649 	 -28.989939 	 -28.747116 	 -18.423358 	 -18.423358
19.6 	 -28.776190 	 -28.489737 	 -28.975028 	 -18.374858 	 -18.374858
19.7 	 -28.603187 	 -28.997404 	 -28.841965 	 -18.416729 	 -18.416729
19.8 	 -29.201432 	 -29.110161 	 -28.952708 	 -18.738507 	 -18.738507
19.9 	 -28.841965 	 -28.363853 	 -28.398638 	 -17.846081 	 -17.846081
20.0 	 -28.768912 	 -29.293672 	 -29.004876 	 -18.779868 	 -18.779868
20.1 	 -28.638946 	 -28.646116 	 -29.057359 	 -18.383656 	 -18.383656
20.2 	 -28.783474 	 -28.588925 	 -28.496785 	 -18.030049 	 -18.030049
20.3 	 -29.232070 	 -28.967582 	 -29.186153 	 -18.789086 	 -18.789086
20.4 	 -28.405612 	 -28.725374 	 -28.624625 	 -18.200743 	 -18.200743
20.5 	 -29.027330 	 -29.140478 	 -28.747116 	 -18.704189 	 -18.704189
20.6 	 -28.812670 	 -28.363853 	 -28.805362 	 -18.076656 	 -18.076656
20.7 	 -28.560470 	 -29.057359 	 -28.581802 	 -18.350709 	 -18.350709
20.8 	 -29.049842 	 -28.596053 	 -29.019839 	 -18.443277 	 -18.443277
20.9 	 -28.517961 	 -28.610327 	 -28.468629 	 -18.106446 	 -18.106446
21.0 	 -29.057359 	 -29.224401 	 -29.216738 	 -18.881811 	 -18.881811
21.1 	 -28.567575 	 -28.525031 	 -28.574685 	 -18.046968 	 -18.046968
21.2 	 -28.908241 	 -28.878723 	 -28.567575 	 -18.463242 	 -18.463242
21.3 	 -28.819984 	 -28.596053 	 -29.117730 	 -18.344135 	 -18.344135
21.4 	 -28.489737 	 -28.900852 	 -28.574685 	 -18.476578 	 -18.476578
21.5 	 -29.301404 	 -29.064883 	 -28.975028 	 -18.893471 	 -18.893471
21.6 	 -28.539189 	 -28.761641 	 -28.539189 	 -18.207209 	 -18.207209
